Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Sep-19 09:00:00,1.1879097247485624,62.80994315690473,35.6496000755634,38.477544950909994,31.898131688257976,36.103843714831214,38.039882317096044,34.39273640222078,100.00384970122765,23.996011002810402,23.999763836418992,23.99741289066444,24.09455079208784,23.999685078992695,23.99916684387155,23.99707484982217
2006-Sep-19 10:00:00,1.0151496711357273,55.7779123134225,36.885054135676825,41.65211773431019,30.982297012116813,35.60025757472953,38.522115666659836,32.844719367891265,103.72229470505046,23.99479399100676,23.999764794610268,23.996357764799956,24.285847009632786,23.99960548932019,23.998457354374057,24.51486383666634
2006-Sep-19 11:00:00,0.9292621407174536,50.04897746793328,39.4208293583813,45.37324259849513,31.034827969483086,35.53728834956874,39.87230270717166,31.088871528271245,106.18524740146188,23.994144502501836,23.999664139083535,23.995138391934926,24.700939632625662,23.999723458639767,23.997492046542632,25.471663056071474
2006-Sep-19 12:00:00,0.866565463394477,46.21748071565065,40.114923995181236,46.391748951204285,29.389832828811134,35.07803037022925,39.9370860172599,29.41948287077912,108.02394142776161,23.99265340912126,23.999224583950397,23.995950615936398,25.136662972423782,23.99961103065038,24.11579827982729,26.18606667377055
2006-Sep-19 13:00:00,1.1427350010814277,46.008948148769036,40.056972826229114,44.282479605341216,28.738979438106046,34.795112390113154,39.620887731581625,28.63255629879528,99.95453086513112,23.99299897722578,23.999671180235598,23.99578039315321,25.41146055134963,23.999470157618067,24.199740215865962,26.48767746792357
2006-Sep-19 14:00:00,0.820893868365273,44.86717848080091,39.809308437111895,45.14776716587151,27.58360410850389,34.37201852282313,39.289543612413375,29.89182365578826,109.33097590599493,23.994054309932604,23.999692069404077,23.994405672748858,25.8071248761352,23.999473961092317,24.297347586376276,25.4410196239417
2006-Sep-19 15:00:00,0.7603661458198517,47.14928125262393,40.466653545357055,46.42292977831812,26.63843182048758,33.94992069268584,40.31799603350598,30.6706131595906,111.34116183576246,23.993122360760523,23.999480610670062,23.995244453631383,26.13541009063579,23.998815521457473,24.024526834232535,24.828955734134087
2006-Sep-19 16:00:00,0.7195859023182759,50.52868034803043,41.707266659161604,47.76183755829815,26.88928344077213,33.846683205564965,41.03335615796871,31.847848375841846,112.85754880413202,23.99393343879527,23.998956052366026,23.996075032837002,26.336174591560376,23.998023145166602,23.996947207565245,24.200426516858
2006-Sep-19 17:00:00,0.6853579509675888,53.699449480461546,42.18964760022476,48.39219415456963,26.818253778161566,33.66632096026389,41.36619088199675,32.18474605645094,114.15950031736527,23.99531754055486,23.999450268539718,23.99670030610896,26.415013212649413,23.99790999015431,23.997675157656108,23.9966177684959
2006-Sep-19 18:00:00,0.8405324704120231,56.856966470634546,43.525778005682106,50.509870008520956,28.538810645990242,34.03687756502199,42.346575891872554,32.947483432269976,108.06826122737284,23.9950304701601,23.99975361228069,23.997161047282436,26.344430590751514,23.99885461932591,23.998869842326787,24.136782558212335
2006-Sep-19 19:00:00,1.6230801767536598,58.80178254816601,42.980206624785204,46.2167846653502,29.723691188649116,34.22006643531039,42.06611796586458,33.72618706865645,89.91138453741353,23.997685453955103,23.999986861823487,23.997935868007442,26.09390395776879,23.999575184748654,23.999502312522143,23.997486809929324
2006-Sep-19 20:00:00,1.859808456534085,59.16030816968392,41.772444029232155,43.979515386056164,30.894006735119998,34.444204227148795,41.45153679723101,34.11797881252701,86.18283163718843,23.99791077580627,23.99993327186084,23.998046276901363,25.90474292120864,23.9993448824896,23.99883536052758,23.996899636550754
2006-Sep-19 21:00:00,2.0193306878719293,59.14077488777226,42.98818361537405,44.79545228029619,34.49628912449843,35.455400602195944,42.23463072759417,35.35760207197699,84.25602297185445,23.998248114988076,23.999893703900113,23.998860402697275,25.70398519896058,23.99948552155197,23.999300769732965,23.997482414888903
2006-Sep-19 22:00:00,2.1397478245152755,59.12687339052368,42.644495003439545,44.28820731375052,35.376151715323196,35.6917363700953,42.12188793871711,35.59520933396777,82.82540364931197,23.999031878284573,23.999947968534098,23.998559984086615,25.503850791150228,23.999046039023693,23.99944915416978,23.9981604867465
2006-Sep-19 23:00:00,2.256227418759074,59.12388817236135,42.464227049709365,44.03787302112571,35.8519283893111,35.77969205647009,42.05270698153743,35.687659382592244,81.50858722138842,23.998615784805,23.999963282938015,23.997959478029557,25.332448768043122,23.999385910561728,23.998838984002592,23.997804677846904
2006-Sep-20 00:00:00,2.369070945668223,59.12135854774005,42.264291442771416,43.76382867405555,36.27019269693485,35.858084199492545,41.965002147167866,35.766007555651676,80.30447434666631,23.99802439537073,23.99997180114836,23.998710508654437,25.17180309214154,23.999601692720248,23.999314592700685,23.998363562878037
2006-Sep-20 01:00:00,2.507968915455505,59.11244663723942,41.98390942366883,43.367015853568944,36.50768254472154,35.90553495513013,41.823898228178884,35.819357769614385,78.90220411695344,23.998914373719515,23.99998048188618,23.999193694639434,25.034882110264338,23.999759589059376,23.999640331904917,23.99905729753726
2006-Sep-20 02:00:00,2.622182955289631,59.10511656881755,41.611031801587906,42.949708572472595,36.617142654329285,35.92258203957922,41.64045870302306,35.83880168790417,77.80608075678678,23.99944863661278,23.99998230783204,23.999488395950795,24.897249815130262,23.999624246990944,23.999770041494912,23.998108496616577
2006-Sep-20 03:00:00,2.7304524357971296,59.09863099568725,41.1450405429014,42.462652478607986,36.54707342788412,35.90477997664086,41.40571083080335,35.8201676635887,76.8075529324788,23.99965349095321,23.999983799513675,23.999650348367766,24.77796168180032,23.999278445217044,23.99985788213658,23.99864462412295
2006-Sep-20 04:00:00,2.8382529123879987,59.09236161620302,40.68006921917206,41.980602773022284,36.454156403517906,35.87715800135718,41.16467689732584,35.79358708787084,75.85504601171594,23.99976920850497,23.999985176336377,23.99975527626184,24.662729372627307,23.999450352770406,23.999718752197264,23.999112402543528
2006-Sep-20 05:00:00,2.9499625268906,59.08894812671692,40.21835677261283,41.5008820391595,36.37033655017611,35.84137483875739,40.91726347478839,35.75859674411101,74.90942412573058,23.999049181067367,23.99998811613517,23.99956898860057,24.540085719590675,23.99959817252768,23.99937935461565,23.99944244811101
2006-Sep-20 06:00:00,3.064109347109419,59.08406542053843,39.74113895250106,41.011977612394816,36.26254020467706,35.792599403740105,40.65353359673155,35.71244331261591,73.98116641525404,23.998696195043596,23.999990955243877,23.998889621572108,24.413374736355948,23.99971307275783,23.999610426649806,23.99912756598832
2006-Sep-20 07:00:00,3.1801233322488116,59.07539016420926,39.28430737813931,40.47289199513143,36.288001999072975,35.74016447048991,40.361399308373734,35.66159517689575,73.07539356390123,23.999060932150655,23.98339437056386,23.999232895944033,24.227022017192194,23.999801710777774,23.999767542856834,23.998765239975665
2006-Sep-20 08:00:00,3.1770866594540066,59.519570105003766,38.52116536204747,39.78444815022343,36.17140792126341,35.62093297335317,39.85609416745743,35.54506095741605,73.03283866194066,23.999148262316137,23.989217313343847,23.99937312474483,23.92816209436181,23.999620008790018,23.999670796597226,23.99894993281501
